scenario,request_type,mean,std,min,max,count
Low,Authorize,10.0,,10.0,10.0,1
Low,Deregistration,10.0,,10.0,10.0,1
Low,Grant,10.0,,10.0,10.0,1
Low,Registration,10.0,,10.0,10.0,1
Low,Relinquishment,10.0,,10.0,10.0,1
Low,Revoke,10.0,,10.0,10.0,1
Medium,Authorize,20.0,,20.0,20.0,1
Medium,Deregistration,16.666666666666668,,16.666666666666668,16.666666666666668,1
Medium,Grant,20.0,,20.0,20.0,1
Medium,Registration,20.0,,20.0,20.0,1
Medium,Relinquishment,20.0,,20.0,20.0,1
Medium,Revoke,16.666666666666668,,16.666666666666668,16.666666666666668,1
High,Authorize,21.428571428571427,,21.428571428571427,21.428571428571427,1
High,Deregistration,23.076923076923077,,23.076923076923077,23.076923076923077,1
High,Grant,21.428571428571427,,21.428571428571427,21.428571428571427,1
High,Registration,21.428571428571427,,21.428571428571427,21.428571428571427,1
High,Relinquishment,23.076923076923077,,23.076923076923077,23.076923076923077,1
High,Revoke,23.076923076923077,,23.076923076923077,23.076923076923077,1
Stress,Authorize,22.727272727272727,,22.727272727272727,22.727272727272727,1
Stress,Deregistration,22.727272727272727,,22.727272727272727,22.727272727272727,1
Stress,Grant,21.73913043478261,,21.73913043478261,21.73913043478261,1
Stress,Registration,21.73913043478261,,21.73913043478261,21.73913043478261,1
Stress,Relinquishment,21.73913043478261,,21.73913043478261,21.73913043478261,1
Stress,Revoke,22.727272727272727,,22.727272727272727,22.727272727272727,1
Extreme,Authorize,21.73913043478261,,21.73913043478261,21.73913043478261,1
Extreme,Deregistration,21.73913043478261,,21.73913043478261,21.73913043478261,1
Extreme,Grant,21.27659574468085,,21.27659574468085,21.27659574468085,1
Extreme,Registration,21.27659574468085,,21.27659574468085,21.27659574468085,1
Extreme,Relinquishment,21.73913043478261,,21.73913043478261,21.73913043478261,1
Extreme,Revoke,22.22222222222222,,22.22222222222222,22.22222222222222,1
